interacciones_app,tiempo_uso_app,tickets_soporte,calificacion_satisfaccion
23,52.63837334735216,2,6.711194619444454
16,33.986087386672686,1,5.5586875127989686
23,38.762780856115114,0,7.086365231719113
20,27.86009017279741,1,7.563341136492828
18,25.083257727035928,0,8.112246363535661
19,32.396553887522785,2,8.855788343826728
19,18.8253412749456,1,7.756755676340585
15,51.213995912077195,0,6.1545842349279285
20,22.799790643821353,4,7.625840275925673
22,39.6091891781231,3,7.4714717287364785
23,21.31807049451159,2,7.064640032181959
23,36.20351689053473,1,8.284932146703074
18,33.16565925017946,0,9.223526598705755
17,24.803531652390507,3,8.657373444193722
13,39.11277985939372,1,8.211752419392417
19,23.35973716020816,0,9.171251733697753
19,10.667367166633426,2,6.202307293886022
19,36.998932556570836,2,7.009896423560406
29,28.286734416490308,0,5.916389328303814
22,26.993604286971433,2,7.0687434886363665
17,31.36763295428393,1,5.958132128216603
26,25.86045672264334,1,5.38527451965689
20,23.2577128334986,1,6.784411499744344
14,24.570135509227534,3,6.427706105167038
21,29.64802240683663,0,7.56534493309334
18,8.436938220039881,2,6.203754730596007
19,32.66401159865445,3,7.7156862799110675
26,36.552710174417626,1,7.770007653322345
22,24.28420493562636,0,8.93333589321637
22,38.893953711424,3,6.483257696586344
25,36.70486023095434,0,7.900509209453264
24,21.963993790852484,0,6.290097994458754
15,47.92768587533561,5,8.427585995159468
22,24.23889348818864,0,7.17467377490519
21,31.503226069760572,0,6.383524490280134
15,12.653771850760972,3,7.928411265987421
17,25.832314890386765,3,5.057908769318043
21,33.0697038317656,0,6.261818492208523
18,32.77870394676844,1,7.227926881276416
17,31.88312239987932,0,7.519132550784247
18,63.86114518663523,1,8.28486768762766
21,44.628824899670406,1,8.587246424313685
15,37.110083900363726,1,6.060964665733221
16,34.027819003398804,1,7.969728101592012
20,22.22232574599557,0,9.236044083034075
13,30.014608243435294,2,7.090579453849076
17,39.796345390767954,2,7.5055853733971505
25,31.64430926928495,0,5.902662376031614
25,34.68315760373109,1,8.836155864966237
17,37.0518293442161,0,7.7314277282283195
15,46.67645315281068,2,7.484143717607514
18,21.64488082475109,3,7.673603916760788
21,33.20687175540656,3,8.546012215707348
27,39.14052121778228,2,8.869229376900138
17,16.9890362449069,0,9.417509997981208
16,18.51521526495916,1,6.301261449133241
24,24.478864685190786,4,10.0
23,19.58409527440913,2,6.736647313500134
21,38.36349151308849,0,9.868131458200502
19,39.38550502593273,2,7.536630679617963
19,25.954190963921363,0,6.321440359883955
13,26.358008178496732,2,7.61171781273966
28,39.70597406421683,1,7.705164853591123
19,47.53107854929051,2,7.1756025677357975
23,48.58037216296098,1,7.391638812767391
15,36.57151051846006,3,7.398486258218016
17,44.39558359618057,2,7.590400377884139
22,38.58298679298443,3,5.8345910462740385
23,35.74508049426067,2,7.606157605552022
19,38.658280991136124,5,9.60056879536183
21,46.51478518014525,0,8.299170965972575
21,44.969170013300044,2,7.1221123743186165
18,44.84165871269317,3,8.002275832732817
23,38.78217774670035,2,8.840402039920507
24,10.855179593375784,2,3.939190573164709
27,26.426044315986445,0,5.845879117268096
12,21.454341039392798,0,4.79294723089845
19,16.215233068040146,5,6.442190320533569
21,30.156266043165004,2,6.1485755911893705
16,26.81838345345971,4,7.54962685875311
20,19.019517054275997,4,9.09332866071274
28,38.53452956830807,0,5.953601859545881
16,24.23537460939167,1,8.576380384342112
18,30.82835015505737,3,6.315392288548214
20,50.34391409213936,0,7.7155614808571915
20,24.556751135395036,0,10.0
24,15.0732680495082,1,5.843602312902464
13,44.022129848576036,3,9.32359205476658
22,19.56585954024299,0,9.236857138052134
24,33.147313344264916,1,7.214272248848128
19,17.42606399038134,2,8.621191365857811
19,35.26287038686769,0,7.416134626194222
15,14.517758720376257,4,7.36296019079037
25,38.428734328005,3,7.695825546944292
28,17.434221574853343,2,8.61426976882058
19,39.50886933484486,0,7.853447683632186
17,18.533210559688516,2,8.452026806228368
16,37.366228212236166,2,8.365103060623442
16,28.254887422987682,0,5.980125279949298
27,21.964040669449126,2,7.4804684459084685
20,36.217101490929146,3,8.181954381686118
13,23.72947205262761,1,7.562965766559123
32,30.8308454297567,1,7.442758128130827
24,35.12865663428219,0,7.625285311907928
16,10.812170300977726,1,8.630412777382748
23,47.71316508392023,1,4.95660449798657
22,42.215868049195336,1,5.536263650247716
20,13.716148359944391,1,5.789672250739195
18,31.908519644075888,1,7.7734469462777875
13,32.98056751336767,2,7.702703122846847
17,42.45247648777183,2,9.157826874715184
17,26.31693107281528,1,7.345178552077079
20,41.807971820591135,1,6.4074273625891145
21,53.61128342213503,1,7.15337156813382
22,28.228021231031217,2,9.118299054589297
26,28.240224664694423,3,6.249705003781173
14,28.799066771951683,2,8.107973393664816
19,22.189366039575134,2,6.541008597744656
18,13.599410646305902,1,7.828525350535584
14,30.458509111566546,3,8.233811350970413
16,40.78211839385559,0,8.545448191411793
18,46.121094833324534,0,7.879815283962107
21,40.64253301117424,2,9.116196512773442
21,28.861593884038413,0,6.055080596689059
17,21.674982655238693,1,6.970890158194833
19,42.28487434639466,1,7.552365625267217
21,37.99792308074328,0,5.672924323198786
28,23.680763160663048,0,7.683758572469848
10,33.72799230126244,0,7.460937604693331
18,24.458430279955785,2,9.183143394604118
21,23.12796741682304,1,6.974279707721303
18,21.736044052094087,2,8.087753304202163
18,34.02893839866982,1,5.645184937329759
18,37.67415989502277,0,10.0
18,26.094145660737023,1,5.648977410060544
17,29.732554525362097,1,5.063324932012438
18,25.545267318246474,2,6.638890722506792
19,21.78092277443102,1,7.7846748254554665
14,23.31546885047885,2,7.730855036726201
