visitas_tienda,compras_online,tiempo_web_min,gasto_mensual
5,5,19.71447117784684,242.4267921311361
4,3,14.891279611084837,228.87657891119
4,3,14.909933300613844,206.90252259958828
4,5,7.158367721036747,275.78969085341987
2,3,11.272615788504861,147.70811662197707
5,4,8.208971264830431,310.1547033498616
2,1,6.7334126095925235,206.02368334251972
5,1,8.711310083012364,405.03236895204594
3,4,10.3595112127683,226.35133451802128
5,2,11.194432655459556,213.9868207469965
7,3,10.789351389697876,207.79853581683213
1,1,20.102280367088003,214.7348043083402
4,3,10.464278974898207,295.5421043818549
3,4,22.13092346092816,246.8292848957146
3,2,12.580120612055206,324.03112494711195
0,4,17.195993298754594,284.83161002003345
5,9,17.35571540699434,252.36193446129633
4,4,10.510782896036014,277.9715751698993
6,2,13.359547174961499,339.72601661227907
7,5,12.485280815298232,299.2521972288246
1,0,16.862203564054138,271.041774508041
5,2,14.355777552910784,281.7056916256444
2,2,11.258008630265095,163.54863732611346
6,4,15.595291443296551,442.87721396912224
6,1,16.6980804156498,289.6094290473358
4,3,24.25022339271294,297.09360194162525
3,7,15.340632280479506,247.8480708966535
5,1,15.050041734042695,77.68239222366606
5,3,17.14199305230002,230.09923110519557
2,3,10.252988186685705,255.69603520459867
1,3,6.372451994822541,188.28716335853653
3,1,13.43948954139589,187.63350938993952
6,1,20.360495489888706,224.55610280805374
4,2,21.167758565843457,307.8646632661036
2,7,5.603076471342611,344.1815706280614
2,5,18.330397402467334,262.8222216204769
3,5,4.076009990861703,207.44659555742965
4,2,17.29590277416293,222.82115948906664
4,8,16.99679656448328,257.46505016950334
4,5,6.380099852422283,266.35225932569057
9,4,20.000230715658436,282.62193896305746
1,3,23.719179506454594,217.0480087062649
2,5,14.687598344987618,289.69683493785993
2,2,15.704999374884817,283.7677926068758
4,4,22.39558101493453,220.36804325956626
6,0,9.3683398295601,121.03817333177571
3,2,9.494612711885537,183.6297488851045
7,3,10.803082480403994,367.5696494595552
4,7,15.185410521554962,122.98213052136327
6,5,15.172079221312401,348.81416814799167
8,5,12.23354862359873,120.35643249753142
5,3,13.497597942712309,192.01373296828888
7,1,12.302158825246234,221.89607603160866
7,2,12.540999943096942,383.672731221483
7,2,11.157392698607067,251.95982182751357
2,5,11.197801307629074,233.94961294287276
3,1,4.9952808253619985,179.84904750797452
2,3,13.88162452811008,289.14707100669375
3,2,5.222103388913656,211.54611665717715
2,2,18.75279559353711,232.8247080667323
7,3,12.2004107792742,223.1234121261091
2,5,14.402952106418363,303.989663093941
3,3,13.133951836240218,307.1340664360439
2,1,13.779431123258863,183.2208635376748
4,3,21.31687407798359,202.95565064445861
6,1,8.24251794036359,195.55910309919167
1,3,6.8834153882875775,263.7514028315563
1,2,15.59686163331982,318.00211393436666
3,5,12.520601381303406,264.74989945675776
3,4,16.79811960671973,85.70142291304879
4,5,18.582886198706575,306.9814889700215
5,1,9.468283717174074,148.82568490846677
2,1,18.01694421632407,196.35697071595297
8,1,9.890282565402469,264.88235237878155
3,2,15.372875954690622,243.708560707308
1,2,8.815431382030976,315.4551400520596
2,1,15.660718785956641,204.19355257758042
2,1,14.895613595390497,177.50396628324683
4,4,9.485352556969275,226.62679561856874
6,6,8.207943293261277,323.27645017321106
7,3,18.753192920484942,297.22546533116156
6,1,12.734997736608092,256.5361005941813
2,6,20.06015481116173,349.4472391002143
5,2,12.283031350876637,335.8642182103868
5,3,21.510898678096048,309.13616771070747
4,7,10.258052225060847,161.65121324885615
4,3,22.36373278755604,308.74292779809036
3,5,15.87185931529031,234.8231315156366
2,4,16.998983703843557,220.37918269681867
3,4,9.979876932777865,198.8086396542095
8,4,18.646075914653935,237.12125770867428
5,6,18.819640662055864,203.06846836369633
0,3,13.37782571237393,262.7315724963304
2,3,4.330023039996416,237.02926292409973
5,4,9.433357170433164,266.5403869483797
4,7,9.432596693040207,291.4953653491051
5,2,17.246764087706737,227.92261213586383
9,1,12.674838302399285,194.7030078962975
6,2,12.771951418638748,99.51980267021335
3,3,12.168438650692913,307.79902874256265
7,2,22.34645138910979,255.90739473103645
8,3,15.226759804149237,236.78677146912884
1,4,15.988701677916485,337.89372868954814
8,0,11.903052442810056,153.36091049610067
2,5,14.851806714964018,254.21798214335908
10,0,10.12155328647393,177.69560196470513
6,5,16.71862338778965,299.2004390632162
8,4,9.267232110134849,83.03940406681647
1,4,18.721099227995794,310.30117470518985
4,4,11.325238636141197,307.1995140374705
0,2,19.741964064941016,180.77406751484426
5,1,24.53647128840988,254.9754781802078
6,2,15.005505557625794,182.3857494985206
6,5,21.558075610714447,282.0697345459052
2,2,18.757244744927096,311.5171830784501
1,1,7.836089804821037,174.62652506217978
2,5,15.554638887592539,152.7438507342385
4,3,17.505993528446112,332.2327863025178
2,1,17.98857657713148,395.58779436335954
2,0,15.891034024874962,287.0835292451569
1,5,15.826556981636106,292.63311163690906
3,3,15.025436790576169,225.09695656308637
3,3,15.665880429968427,263.5021004410145
3,2,8.881605148504772,276.3040963929677
4,2,13.81894609510661,236.30702981538877
5,3,7.735093225942357,351.2395391510879
1,2,12.51186158623012,263.2558567025872
5,5,12.045972244495557,272.9200007611218
3,3,11.726685131647297,237.8527712245115
1,4,9.739959211054762,245.4745543424417
2,3,16.346386368984437,341.4032703356726
5,5,13.409648471440695,260.9429523271166
4,1,12.897868721235,262.69712893839545
4,3,7.962130027518617,263.6651558419558
3,4,13.510694039015052,222.66155223143704
2,2,20.727663999579825,144.40449882595843
2,1,20.804031549301705,367.9430610333712
3,1,16.867562898592226,330.12205089250205
6,3,13.524230124400804,343.67827392136667
5,3,17.79491415112263,169.56108482105907
4,1,11.663232059116542,358.36901909819517
2,6,13.503738720583097,397.5153090268959
3,2,11.287387787014554,328.3616810704593
2,1,19.54183213582045,373.58668093902344
1,6,18.900029804958184,309.83864561948286
7,3,14.826588704770032,186.5044297465039
5,1,23.656261546452818,288.07239028241565
3,2,17.062572903854733,173.47429751685752
5,2,16.781137731681557,205.19693961252142
3,4,16.24560123270044,273.7210321441952
6,3,8.68856591133378,263.65138531600735
4,3,10.528600842963147,284.73065547520474
5,5,14.726810231568948,115.59332547066427
5,1,14.768082606143496,238.43215399318484
4,3,17.948813501052182,291.17488732491535
2,5,11.660664454728098,306.1280254419432
5,3,15.35343350378272,311.0329735437451
4,3,15.442800655517415,268.8443695792468
6,2,15.640975408880623,221.5581887516908
4,4,15.082072585266408,287.6103163882028
5,4,7.980799907240019,227.52151635323378
0,4,3.6939076817110994,317.57922901741864
8,0,10.291181820963702,282.0480964970849
5,4,12.344384886005477,245.37083899092448
7,2,9.107740654747811,192.32536616818618
2,2,14.721630655628253,333.96065804035675
0,5,20.450534843940993,291.9287084756395
5,3,18.630165827139397,407.72272574452927
4,2,17.33166647706805,289.4664447994708
4,5,19.926553693312513,295.7437668087566
2,2,10.37688477834885,140.104838845225
3,1,12.71601865164538,273.28632846460454
3,3,18.07423431529111,226.26038100066555
3,3,12.627349954140032,311.9824216306833
3,1,12.90086754924435,275.10133323693117
2,3,24.31209560954634,323.8954885769442
5,1,15.477210389316614,409.94463354714594
4,4,23.818131001003685,190.1228270910826
3,3,5.88351666798615,321.00299196440403
3,4,11.845668476983528,301.2694875107769
3,3,17.04408290325964,398.4471090911648
2,6,15.468662898865396,302.9038427523703
2,1,4.722268684014569,295.1057796057805
6,3,13.852104097138913,313.8589923271737
2,5,27.365087983093517,319.094958172525
1,2,16.234563859150487,359.0777614195627
1,3,18.022179999993938,188.54661029601345
5,2,11.780284160374286,220.5745916706006
4,5,16.216420736981703,380.1464589610378
5,0,14.938359008823394,103.09637909529383
5,1,20.59407215869454,243.64530668514058
4,3,20.435004433899138,261.2169989788125
5,3,17.037580724103698,236.73160901966267
3,4,15.354829077972724,368.57110248552397
4,4,6.604462320519794,285.69533365011847
6,4,6.4302228145225335,220.95144215160718
4,5,15.409554566987588,202.41930167520889
2,3,19.373170557308278,271.13691838698156
3,4,21.658730284780855,337.4465527902075
5,0,10.551306248131894,260.38060835256834
3,4,7.453807031793607,239.91847493066257
2,4,19.664795764472913,197.85372333664785
4,1,10.926541164508205,278.0529128566975
4,5,7.114658661635923,273.8927891778192
5,2,12.531609209404497,195.68360754278604
3,2,12.444505166378773,326.98121319948416
7,3,21.600855381536736,377.95324819403345
4,4,19.328169573407678,253.6748475899033
5,4,11.313064486183347,272.660323233449
2,2,21.989771712780215,167.12990344643464
9,1,15.625129289571767,305.28921440303185
2,5,20.30417817647047,284.8130662695597
1,4,21.63589254061106,225.54216403907566
3,5,13.687035499652358,194.2380610786
6,3,17.856597870635085,388.5677682716245
1,3,12.966207677832912,278.7077677054751
2,2,19.65051130959634,181.17465280894524
8,3,15.451375719018614,314.1658219311479
7,1,19.801611095328482,267.2242984605847
3,2,22.62378331909231,254.41692477452938
1,4,17.736159158974857,323.39179716532755
6,2,14.53270072129074,54.04276840135802
4,5,14.615860617050012,114.47202916617368
5,4,0.21484124510559433,353.441404340247
3,2,11.436028400843279,240.3308412664749
3,4,19.66286760167671,217.99207893410005
5,1,19.84940603507418,149.66822587504942
